                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5016,                 2.2903,                  1.629,                 0.7304,                0.70505,                0.71647,                0.39929,                 1.6526,                 1.4274,                 2.0648,             0.00030133,             0.00030133,             0.00030133
                      2,                 1.4314,                 1.3887,                 1.5425,                0.66424,                0.56013,                0.64624,                0.36619,                 1.6355,                 1.7122,                 2.0047,             0.00057441,             0.00057441,             0.00057441
                      3,                 1.3929,                  1.295,                 1.5162,                0.75909,                0.70469,                0.78002,                0.48309,                 1.4795,                 1.1589,                 1.8018,              0.0008175,              0.0008175,              0.0008175
                      4,                 1.3624,                 1.2113,                 1.4932,                0.77779,                 0.7608,                0.80067,                0.49352,                 1.4734,                 1.0585,                 1.8148,             0.00077401,             0.00077401,             0.00077401
                      5,                 1.3247,                 1.1393,                 1.4631,                0.77591,                0.74577,                0.80301,                0.49878,                 1.4705,                 1.0807,                 1.8044,             0.00077401,             0.00077401,             0.00077401
                      6,                 1.2804,                 1.0685,                 1.4251,                0.77049,                0.79179,                0.83303,                0.53317,                 1.3912,                0.93892,                 1.7317,             0.00072902,             0.00072902,             0.00072902
                      7,                 1.2607,                 1.0296,                 1.4158,                0.80364,                0.77801,                0.83706,                0.54311,                 1.3476,                0.86502,                 1.6913,             0.00068402,             0.00068402,             0.00068402
                      8,                  1.218,                0.97352,                 1.3807,                0.79468,                0.77106,                0.83091,                0.53347,                 1.3791,                0.91468,                 1.6976,             0.00063903,             0.00063903,             0.00063903
                      9,                 1.1933,                0.93632,                 1.3664,                0.83131,                0.77171,                0.84812,                0.55452,                 1.3328,                0.85158,                 1.6789,             0.00059403,             0.00059403,             0.00059403
                     10,                 1.1612,                0.88569,                 1.3478,                0.81246,                0.83113,                0.85815,                0.56244,                 1.3085,                0.82748,                 1.6593,             0.00054904,             0.00054904,             0.00054904
                     11,                  1.146,                0.79185,                 1.4012,                0.81938,                0.81637,                0.86011,                0.57811,                 1.2794,                0.81704,                 1.6348,             0.00050404,             0.00050404,             0.00050404
                     12,                 1.1086,                0.73695,                 1.3762,                0.80403,                 0.8408,                0.86566,                0.57633,                 1.3244,                0.77293,                 1.6825,             0.00045904,             0.00045904,             0.00045904
                     13,                 1.0753,                0.70678,                 1.3426,                0.80463,                0.83716,                 0.8718,                0.59555,                 1.2534,                0.75095,                 1.6046,             0.00041405,             0.00041405,             0.00041405
                     14,                 1.0454,                 0.6781,                 1.3278,                 0.8241,                0.81739,                0.86614,                0.59721,                 1.2575,                0.75966,                 1.6235,             0.00036905,             0.00036905,             0.00036905
                     15,                 1.0145,                0.65573,                 1.3053,                0.81933,                0.82385,                0.86536,                0.59021,                  1.284,                0.76824,                 1.6367,             0.00032406,             0.00032406,             0.00032406
                     16,                0.99349,                0.63034,                 1.2889,                0.80873,                0.84369,                0.87376,                0.60065,                 1.2559,                0.75318,                 1.6117,             0.00027906,             0.00027906,             0.00027906
                     17,                0.95296,                0.60507,                 1.2555,                0.81573,                0.85386,                0.88192,                0.60902,                 1.2508,                0.70457,                 1.6086,             0.00023407,             0.00023407,             0.00023407
                     18,                0.93316,                0.58217,                 1.2422,                0.82539,                0.84083,                0.88103,                0.61851,                 1.1964,                0.70465,                 1.5622,             0.00018907,             0.00018907,             0.00018907
                     19,                0.90012,                0.56319,                  1.217,                0.82526,                0.83649,                0.87893,                0.61703,                 1.2214,                0.71742,                 1.5905,             0.00014408,             0.00014408,             0.00014408
                     20,                 0.8779,                0.54276,                 1.1982,                0.82019,                0.83744,                0.87665,                0.61806,                  1.198,                0.71819,                 1.5693,             9.9081e-05,             9.9081e-05,             9.9081e-05
